"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"GIGANTES EMERGENTES","Claudio Carlos Castro / Sebastian Vigliero",28880,"https://www.yenny-elateneo.com/productos/gigantes-emergentes/","Lenguaje Claro","Tapa Blanda",300,"10/2015",96.2666666666667,2015
"LA TRASTIENDA DEL TRABAJO","Jorge B. Mosqueira",26990,"https://www.yenny-elateneo.com/productos/la-trastienda-del-trabajo/","Temas Grupo Editorial Srl","Tapa Blanda",340,"08/2015",79.3823529411765,2015
"LA RESPUESTA","Mario Alonso Puig",23200,"https://www.yenny-elateneo.com/productos/la-respuesta/","Plataforma Editorial","Tapa Blanda",120,"04/2015",193.333333333333,2015
"LA ECONOMIA DE LAS DESIGUALDADES","Thomas Piketty",22390,"https://www.yenny-elateneo.com/productos/la-economia-de-las-desigualdades/","Siglo Xxi Editores Argentina","Tapa Blanda",208,"02/2015",107.644230769231,2015
"EL ARTE DE LA GUERRA APLICADO A LA EMPRESA","Sun Tzu Sun Tzu / Carles Font",18500,"https://www.yenny-elateneo.com/productos/el-arte-de-la-guerra-aplicado-a-la-empresa/","Del Nuevo Extremo","Tapa Blanda",88,"12/2014",210.227272727273,2014
"MI TRABAJO AHORA","Alex Markman / Matias Ghidini",23990,"https://www.yenny-elateneo.com/productos/mi-trabajo-ahora/","Temas Grupo Editorial Srl","Tapa Blanda",252,"12/2014",95.1984126984127,2014
"EXITO MAGICO","Ernesto Costa",23990,"https://www.yenny-elateneo.com/productos/exito-magico/","Temas Grupo Editorial Srl","Tapa Blanda",208,"11/2014",115.336538461538,2014
"MICROFINANZAS EN LA ARGENTINA","Martin Grandes",23990,"https://www.yenny-elateneo.com/productos/microfinanzas-en-la-argentina/","Temas Grupo Editorial Srl","Tapa Blanda",165,"10/2014",145.393939393939,2014
"CALIDAD DE SERVICIOS Y SATISFACCION AL CLIENTE","Cristina Iglesia",21500,"https://www.yenny-elateneo.com/productos/calidad-de-servicios-y-satisfaccion-al-cliente/","Centro Cultural De La Cooperacion","Tapa Blanda",256,"09/2014",83.984375,2014
"LA MARCA RECURSOS HUMANOS","Martha Alles",39600,"https://www.yenny-elateneo.com/productos/la-marca-recursos-humanos/","Granica","Tapa Blanda",288,"05/2014",137.5,2014
"PYMES QUE CRECEN A PESAR DE","Nino Fernandez",22390,"https://www.yenny-elateneo.com/productos/pymes-que-crecen-a-pesar-de/","Lenguaje Claro","Tapa Blanda",190,"03/2014",117.842105263158,2014
"MARKETING SOLIDARIO","Piramide",35292.12,"https://www.yenny-elateneo.com/productos/marketing-solidario/","Piramide","Tapa Blanda",NA,"10/2013",NA,2013
"DESARROLLO Y ECOPOLITICA","Tomas Buch",31200,"https://www.yenny-elateneo.com/productos/desarrollo-y-ecopolitica/","Lenguaje Claro","Tapa Blanda",380,"08/2013",82.1052631578947,2013
"INNOVAR EN ARGENTINA","Hernan Thomas / Guillermo Santos / Mariano Fressoli",27720,"https://www.yenny-elateneo.com/productos/innovar-en-argentina/","Lenguaje Claro","Tapa Blanda",260,"05/2013",106.615384615385,2013
"LA RESURRECCION","Eduardo Levy Yetati",22900,"https://www.yenny-elateneo.com/productos/la-resurreccion/","Eudeba","Tapa Blanda",NA,"05/2013",NA,2013
"MAS ALLA DE LA ECONOMIA VERDE","Ricardo Abramovay",26990,"https://www.yenny-elateneo.com/productos/mas-alla-de-la-economia-verde/","Temas Grupo Editorial Srl","Tapa Blanda",214,"05/2013",126.121495327103,2013
"ENTRE GENERACIONES","Alejandro Masco",24990,"https://www.yenny-elateneo.com/productos/entre-generaciones/","Temas Grupo Editorial Srl","Tapa Blanda",198,"11/2012",126.212121212121,2012
"EMPUJE ESTRATEGICO","Alberto Levy / Alberto Ibanez Fernandez",29200,"https://www.yenny-elateneo.com/productos/empuje-estrategico/","Granica","Tapa Blanda",184,"10/2009",158.695652173913,2009
"ECONOMIA CIENCIA DE LOS INTERESES APASIONADOS LA","Bruno Latour / Vincent Lepinay",12500,"https://www.yenny-elateneo.com/productos/economia-ciencia-de-los-intereses-apasionados-la/","Manantial","Tapa Blanda",128,"09/2009",97.65625,2009
"LA TRAMA TERRITORIAL DEL ALGODON EN EL CHACO","Cristina O. Valenzuela / Angel Scavo",8100,"https://www.yenny-elateneo.com/productos/la-trama-territorial-del-algodon-en-el-chaco/","La Colmena","Tapa Blanda",130,"08/2009",62.3076923076923,2009
