"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"INNOVACION Y EMPRESA","Guillermo Guajardo",24360,"https://www.yenny-elateneo.com/productos/innovacion-y-empresa/","Lenguaje Claro","Tapa Blanda",384,"07/2014",63.4375,2014
"NEURO PACK VOL 1","Nestor Bruno Braidot",78500,"https://www.yenny-elateneo.com/productos/neuro-pack-vol-1/","Granica","Tapa Blanda",768,"07/2014",102.213541666667,2014
"NEUROMANAGEMENT NUEVA EDICION","Nestor Bruno Braidot",58800,"https://www.yenny-elateneo.com/productos/neuromanagement-nueva-edicion/","Granica","Tapa Blanda",488,"05/2014",120.491803278689,2014
"LA TEORIA DE JUEGOS: UNA BREVE INTRODUCCION","Ken Binmore",23423.2,"https://www.yenny-elateneo.com/productos/la-teoria-de-juegos-una-breve-introduccion/","Alianza","Tapa Blanda",272,"12/2012",86.114705882353,2012
"ECONOMIA 3D","Martin Lousteau",26999,"https://www.yenny-elateneo.com/productos/economia-3d/","Debols!llo","Tapa Blanda",288,"11/2012",93.7465277777778,2012
"DILEMAS","Fabiana Gadow",43500,"https://www.yenny-elateneo.com/productos/dilemas/","Granica","Tapa Blanda",344,"02/2010",126.453488372093,2010
"EL CAPITAL VOL. 3","Karl Marx",24790,"https://www.yenny-elateneo.com/productos/el-capital-vol-3/","Siglo Xxi Editores Argentina","Tapa Blanda",456,"06/2004",54.3640350877193,2004
"EL SALTO DEL DUEÑO","Paula Molinari",38990,"https://www.yenny-elateneo.com/productos/el-salto-del-dueno/","Temas Grupo Editorial Srl","Espiralado",342,"09/2012",114.005847953216,2012
"EL ABC DEL LIDERAZGO","John C. Maxwell",23000,"https://www.yenny-elateneo.com/productos/el-abc-del-liderazgo/","V & R Editoras","Tapa Blanda",136,"06/2025",169.117647058824,2025
"EL ABC DEL EXITO","John C. Maxwell",23000,"https://www.yenny-elateneo.com/productos/el-abc-del-exito/","V & R Editoras","Tapa Blanda",112,"06/2025",205.357142857143,2025
"DOMINA EL ARTE DE LOS NEGOCIOS","Brian Tracy",29999,"https://www.yenny-elateneo.com/productos/domina-el-arte-de-los-negocios/","Aguilar","Tapa Blanda",280,"06/2025",107.139285714286,2025
"ECONOMIA HUMANA . INTUICION LIDERAZGO Y PROSPERIDAD","Ferran Caudet",40920,"https://www.yenny-elateneo.com/productos/economia-humana-intuicion-liderazgo-y-prosperidad/","Siglantana","Tapa Blanda",276,"06/2025",148.260869565217,2025
"EL EFECTO STICK","Josep Valls Gimenez",53300,"https://www.yenny-elateneo.com/productos/el-efecto-stick/","Profit","Tapa Blanda",264,"06/2025",201.893939393939,2025
"TIPS PARA MAMA","Harvard Business Review Press",40500,"https://www.yenny-elateneo.com/productos/tips-para-mama/","Amat","Tapa Blanda",188,"06/2025",215.425531914894,2025
"TIPS PARA PAPA","Harvard Business Review Press",42600,"https://www.yenny-elateneo.com/productos/tips-para-papa/","Amat","Tapa Blanda",208,"06/2025",204.807692307692,2025
"DESARROLLO DEL TALENTO EN LA PRACTICA","Martha Alles",50200,"https://www.yenny-elateneo.com/productos/desarrollo-del-talento-en-la-practica/","Granica","Tapa Blanda",472,"06/2025",106.35593220339,2025
"TODOS SOBRE LOS NFT","Roberto Garavaglia",40600,"https://www.yenny-elateneo.com/productos/todos-sobre-los-nft/","Hoepli","Tapa Blanda",208,"06/2025",195.192307692308,2025
"ELEMENTOS DE INVERSION","Burton G. Malkiel / Charles D. Ellis",42600,"https://www.yenny-elateneo.com/productos/elementos-de-inversion/","Hoepli","Tapa Blanda",176,"06/2025",242.045454545455,2025
"MARKETING EN REDES SOCIALES EL : UN ENFOQUE PRACTICO","Phillip Kotler",51300,"https://www.yenny-elateneo.com/productos/marketing-en-redes-sociales-el-un-enfoque-practico/","Hoepli","Tapa Blanda",280,"06/2025",183.214285714286,2025
"EL INVERSOR CONDUCTUAL","Daniel Crosby",53400,"https://www.yenny-elateneo.com/productos/el-inversor-conductual/","Hoepli","Tapa Blanda",288,"06/2025",185.416666666667,2025
"INVERSION EN BOLSA PARA DUMMIES","Ismael De La Cruz",42600,"https://www.yenny-elateneo.com/productos/inversion-en-bolsa-para-dummies/","Hoepli","Tapa Blanda",240,"06/2025",177.5,2025
"AQUI ESTA LA ESTRATEGIA","Seth Godin",42600,"https://www.yenny-elateneo.com/productos/aqui-esta-la-estrategia/","Hoepli","Tapa Blanda",256,"06/2025",166.40625,2025
"GESTION ESTRATEGICA PARA INSTITUCIONES EDUCATIVAS","Juan Manuel Manes",25200,"https://www.yenny-elateneo.com/productos/gestion-estrategica-para-instituciones-educativas/","Granica","Tapa Blanda",136,"01/2005",185.294117647059,2005
"ESTAS A CARGO","Susan Arevalo",25000,"https://www.yenny-elateneo.com/productos/estas-a-cargo/","Hojas Del Sur","Tapa Blanda",256,"05/2025",97.65625,2025
"PENSA COMO EMPRESARIO","Paula Monte",35000,"https://www.yenny-elateneo.com/productos/pensa-como-empresario/","Libero","Tapa Blanda",214,"05/2025",163.551401869159,2025
"LIBRO PARA EMPRENDEDORES","Luis Ramos",40000,"https://www.yenny-elateneo.com/productos/libro-para-emprendedores/","Libero","Tapa Blanda",554,"05/2025",72.202166064982,2025
"FILOSOFIA NOT WORK","Pasty Lauria",40000,"https://www.yenny-elateneo.com/productos/filosofia-not-work/","Libero","Tapa Blanda",290,"05/2025",137.931034482759,2025
"VENDER ES FACIL: COMO ME CONVERTI EN VENDEDOR SERIAL","Leo Migdal",35000,"https://www.yenny-elateneo.com/productos/vender-es-facil-como-me-converti-en-vendedor-serial/","Libero","Tapa Blanda",178,"05/2025",196.629213483146,2025
"EL GRAN CAMBIO","Guillermo Laura",35000,"https://www.yenny-elateneo.com/productos/el-gran-cambio/","Pluma Digital","Tapa Blanda",350,"10/2017",100,2017
"GESTIONANDO (SIN) PROBLEMAS","Nestor Gavilan Ferrer",53400,"https://www.yenny-elateneo.com/productos/gestionando-sin-problemas/","Profit","Tapa Blanda",222,"05/2025",240.540540540541,2025
"GENERANDO SINERGIAS","Mark Sirower",72800,"https://www.yenny-elateneo.com/productos/generando-sinergias/","Profit","Tapa Blanda",372,"05/2025",195.698924731183,2025
"ORGANIZACIONES HUMANAS","Alicia Medina / Rolf Medina",41500,"https://www.yenny-elateneo.com/productos/organizaciones-humanas/","Jc Saez Editor","Tapa Blanda",388,"05/2025",106.958762886598,2025
"CURSO DE ECONOMIA","Rudolf Steiner",33200,"https://www.yenny-elateneo.com/productos/curso-de-economia/","Antroposofica","Tapa Blanda",234,"11/2011",141.880341880342,2011
"EMPRESA COMO PERSONA","Claudio Gallico",24000,"https://www.yenny-elateneo.com/productos/empresa-como-persona/","Eudeba","Tapa Blanda",200,"04/2025",120,2025
"CLAVES PARA EL DESARROLLO DE AMERICA LAT","Christian Gonzalo Asinelli",35699,"https://www.yenny-elateneo.com/productos/claves-para-el-desarrollo-de-america-lat/","Ediciones B","Tapa Blanda",256,"04/2025",139.44921875,2025
"INTELIGENCIA SENTI-MENTAL","Mati Moretti",31990,"https://www.yenny-elateneo.com/productos/inteligencia-senti-mental/","Temas Grupo Editorial Srl","Tapa Blanda",176,"04/2025",181.761363636364,2025
"REDACTAR MEJOR - SOFT SKILLS","Heather Pierce",22200,"https://www.yenny-elateneo.com/productos/redactar-mejor-soft-skills/","Profit","Tapa Blanda",128,"04/2025",173.4375,2025
"AUMENTAR LAS VENTAS SK","Marcos Alvarez",22200,"https://www.yenny-elateneo.com/productos/aumentar-las-ventas-sk/","Profit","Tapa Blanda",128,"04/2025",173.4375,2025
"SOBRE LIDERAZGO","Tony Blair",42600,"https://www.yenny-elateneo.com/productos/sobre-liderazgo/","Profit","Tapa Blanda",304,"04/2025",140.131578947368,2025
"MANAGEMENT DEL SENTIDO COMUN","Xavier Marcet",31800,"https://www.yenny-elateneo.com/productos/management-del-sentido-comun/","Plataforma Editorial","Tapa Blanda",152,"04/2025",209.210526315789,2025
"VENDER IMPORTANDO","Dany Caceres",23900,"https://www.yenny-elateneo.com/productos/vender-importando/","Emprenbooks","Tapa Blanda",303,"04/2025",78.8778877887789,2025
"REVOLUCION SENIOR","Sebastian Campanario",28999,"https://www.yenny-elateneo.com/productos/revolucion-senior/","Sudamericana","Tapa Blanda",192,"05/2019",151.036458333333,2019
"ODISEA PYME","Francisco Rimmele",24990,"https://www.yenny-elateneo.com/productos/odisea-pyme/","Temas Grupo Editorial Srl","Tapa Blanda",164,"03/2025",152.378048780488,2025
"MANIFIESTO CAPITALISTA","Robert T. Kiyosaki",30899,"https://www.yenny-elateneo.com/productos/manifiesto-capitalista1/","Debols!llo","Tapa Blanda",584,"03/2025",52.9092465753425,2025
"PATRIMONIO Y FAMILIA","Rodrigo Rincon",48800,"https://www.yenny-elateneo.com/productos/patrimonio-y-familia/","Profit","Tapa Blanda",264,"02/2025",184.848484848485,2025
"CAMBIA EL CHIP","Paco Soler",38300,"https://www.yenny-elateneo.com/productos/cambia-el-chip/","Profit","Tapa Blanda",200,"02/2025",191.5,2025
"GEORGE SOROS","Peter L.w. Osnos",52400,"https://www.yenny-elateneo.com/productos/george-soros/","Profit","Tapa Blanda",268,"02/2025",195.522388059701,2025
"MARCELO DIAMAND. DOCTRINAS ECONÓMICAS DESARROLLO E INDEPENDENCIA","Marcelo Diamand",75000,"https://www.yenny-elateneo.com/productos/marcelo-diamand-doctrinas-economicas-desarrollo-e-independencia/","Imago Mundi","Tapa Blanda",642,"02/2025",116.822429906542,2025
"WELLNESS FINANCIERO","Jordi Martinez Llorente / Vicenc Yll Escot",36200,"https://www.yenny-elateneo.com/productos/wellness-financiero/","Profit","Tapa Blanda",168,"02/2025",215.47619047619,2025
"LA PARADOJA DEL RENDIMIENTO","Eduardo Briceno",34500,"https://www.yenny-elateneo.com/productos/la-paradoja-del-rendimiento/","Editorial Sirio","Tapa Blanda",360,"02/2025",95.8333333333333,2025
"THE 33 STRATEGIES OF WAR","Robert Greene",54188,"https://www.yenny-elateneo.com/productos/the-33-strategies-of-war/","Penguin Books","Tapa Blanda",NA,"01/2025",NA,2025
"THE RICHEST MAN IN BABYLON","George S. Clason",22724,"https://www.yenny-elateneo.com/productos/the-richest-man-in-babylon1/","Berkley","Tapa Blanda",NA,"01/2025",NA,2025
"LAS LEYES DE LA COMPETICION","Bruce Greenwald / Judd Kahn",36000,"https://www.yenny-elateneo.com/productos/las-leyes-de-la-competicion/","Arpa","Tapa Blanda",520,"01/2025",69.2307692307692,2025
"ESCALAR","Sam Chand",24700,"https://www.yenny-elateneo.com/productos/escalar/","Renacer","Tapa Blanda",240,"01/2025",102.916666666667,2025
"STRETCH","Scott Sonenshein",20346.72,"https://www.yenny-elateneo.com/productos/stretch/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"COLISION INMINENTE","Hans Greimel",20346.72,"https://www.yenny-elateneo.com/productos/colision-inminente/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"FUNDAMENTOS DE ECONOMIA 4 ED.","Paul R. Krugman",55131.92,"https://www.yenny-elateneo.com/productos/fundamentos-de-economia-4-ed/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"PIENSA ESTRATEGICAMENTE","Harvard Business Review",22164.64,"https://www.yenny-elateneo.com/productos/piensa-estrategicamente/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"ESENCIA DEL LIDERAZGO LA SEGUNDA EDICION","Hugo Landolfi",25000,"https://www.yenny-elateneo.com/productos/esencia-del-liderazgo-la-segunda-edicion/","Dunken","Tapa Blanda",256,"01/2025",97.65625,2025
"9 SECRETOS DE LA GENTE EXITOSA","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/9-secretos-de-la-gente-exitosa/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"DOCE Y MEDIO","Gary Vaynerchuk",15487.28,"https://www.yenny-elateneo.com/productos/doce-y-medio/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"LOGRA UN ASCENSO. SERIE BUSINESS EXPERTS","Niamh O'keeffe",10662.8,"https://www.yenny-elateneo.com/productos/logra-un-ascenso-serie-business-experts/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"MANAGEMENT TIPS 2. SERIE MANAGEMENT EN 20 MINUTOS","Harvard Business Review",15487.28,"https://www.yenny-elateneo.com/productos/management-tips-2-serie-management-en-20-minutos/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"EQUIPOS INNOVADORES. SERIE MANAGEMENT EN 20 MINUTOS","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/equipos-innovadores-serie-management-en-20-minutos/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"UN PAVO REAL EN EL REINO DE LOS PINGUINOS","B. J. Gallagher",10662.8,"https://www.yenny-elateneo.com/productos/un-pavo-real-en-el-reino-de-los-pinguinos/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"DESPIDE A TU JEFE","Juan Antonio Guerrero Canongo",15406.6,"https://www.yenny-elateneo.com/productos/despide-a-tu-jefe/","Mestas","Tapa Blanda",NA,"01/2025",NA,2025
"CONVENCER Y PERSUADIR. SOFT SKILLS","Marcos Alvarez",21300,"https://www.yenny-elateneo.com/productos/convencer-y-persuadir-soft-skills/","Profit","Tapa Blanda",128,"12/2024",166.40625,2024
"APRENDER COACHING. SOFT SKILLS","Cesar Piqueras",21300,"https://www.yenny-elateneo.com/productos/aprender-coaching-soft-skills/","Profit","Tapa Blanda",128,"12/2024",166.40625,2024
"ACTUA COMO UN LIDER PIENSA COMO UN LIDER","Herminia Ibarra",52400,"https://www.yenny-elateneo.com/productos/actua-como-un-lider-piensa-como-un-lider/","Profit","Tapa Blanda",208,"12/2024",251.923076923077,2024
"EMPRESAS Y TRIBULACIONES DE MAQROLL","Rm",27356.2,"https://www.yenny-elateneo.com/productos/empresas-y-tribulaciones-de-maqroll/","Rm","Tapa Blanda",NA,"12/2024",NA,2024
"COACHING CON PNL","Joseph O'connor / Andrea Lages",25500,"https://www.yenny-elateneo.com/productos/coaching-con-pnl/","Urano","Tapa Blanda",272,"03/2020",93.75,2020
"INTELIGENCIA EMOCIONAL","Harvard Business Review",20976,"https://www.yenny-elateneo.com/productos/inteligencia-emocional1/","Reverte","Tapa Blanda",256,"12/2018",81.9375,2018
"7 MOMENTOS DEL COACHING - CONVERSACIONES PARA UN VIAJE INTERIOR","Reverte",27968,"https://www.yenny-elateneo.com/productos/7-momentos-del-coaching-conversaciones-para-un-viaje-interior/","Reverte","Tapa Blanda",148,"07/2022",188.972972972973,2022
"CREATIVIDAD","Manel Rajadell",28842,"https://www.yenny-elateneo.com/productos/creatividad2/","Reverte","Tapa Blanda",286,"12/2019",100.846153846154,2019
"MAQUINAS PREDICTIVAS","Ajay Agrawal / Joshua Gans / Avi Goldfarb",22724,"https://www.yenny-elateneo.com/productos/maquinas-predictivas/","Reverte","Tapa Blanda",306,"12/2019",74.2614379084967,2019
"MEJORA TU PRODUCTIVIDAD","Varios Autores",20976,"https://www.yenny-elateneo.com/productos/mejora-tu-productividad/","Reverte","Tapa Blanda",245,"09/2019",85.6163265306122,2019
"MACROECONOMIA INTERNACIONAL","Robert C. Feenstra / Alan M. Taylor",63802,"https://www.yenny-elateneo.com/productos/macroeconomia-internacional/","Reverte","Tapa Dura",520,"05/2017",122.696153846154,2017
"MACROECONOMIA","Paul R. Krugman / Robin Wells",75164,"https://www.yenny-elateneo.com/productos/macroeconomia/","Reverte","Tapa Blanda",610,"05/2017",123.219672131148,2017
"MICROECONOMIA","Austan Goolsbee / Steven D. Levitt / Chad Syverson",92644,"https://www.yenny-elateneo.com/productos/microeconomia/","Reverte","Tapa Blanda",800,"05/2017",115.805,2017
"EL CATALIZADOR","Reverte",30590,"https://www.yenny-elateneo.com/productos/el-catalizador/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"CONVERSACIONES","David Rubenstein",30590,"https://www.yenny-elateneo.com/productos/conversaciones1/","Reverte","Tapa Blanda",484,"07/2022",63.202479338843,2022
"EL LIDER","Jim Harter",38456,"https://www.yenny-elateneo.com/productos/el-lider/","Reverte","Tapa Blanda",435,"07/2022",88.4045977011494,2022
"DOLARIZACIONES","Ariel Wilkis",28000,"https://www.yenny-elateneo.com/productos/dolarizaciones/","Fondo De Cultura Economica","Tapa Blanda",360,"12/2024",77.7777777777778,2024
"LIDERAR CON HUMILDAD","Jeffrey Krames",12700,"https://www.yenny-elateneo.com/productos/liderar-con-humildad/","V & R Editoras","Tapa Blanda",168,"10/2014",75.5952380952381,2014
"GESTIONAR EL TIEMPO. SOFT SKILLS","Mark Mancini",21300,"https://www.yenny-elateneo.com/productos/gestionar-el-tiempo-soft-skills/","Profit","Tapa Blanda",128,"11/2024",166.40625,2024
"VENDER. SOFT SKILLS","Linda Richardson",21300,"https://www.yenny-elateneo.com/productos/vender-soft-skills/","Profit","Tapa Blanda",128,"11/2024",166.40625,2024
"MOTIVAR PERSONAS. SOFT SKILLS.","Anne Bruce",21300,"https://www.yenny-elateneo.com/productos/motivar-personas-soft-skills/","Profit","Tapa Blanda",128,"11/2024",166.40625,2024
"HISTORIA ECONOMICA MUNDIAL: UNA BREVE INTRODUCCION","Robert C. Allen",21850,"https://www.yenny-elateneo.com/productos/historia-economica-mundial-una-breve-introduccion/","Alianza","Tapa Blanda",252,"02/2015",86.7063492063492,2015
"VIVIR EN LA FRONTERA","Martin Shaw",20000,"https://www.yenny-elateneo.com/productos/vivir-en-la-frontera/","Dunken","Tapa Blanda",NA,"11/2024",NA,2024
"MARKETING PRACTICO PARA PEQUEÑOS NEGOCIOS","Lucia Mediano Serrano / Xavier Zubizarreta",43612.6,"https://www.yenny-elateneo.com/productos/marketing-practico-para-pequenos-negocios/","Piramide","Tapa Blanda",296,"04/2016",147.339864864865,2016
"CAPITALISMO Y PERSONALIDAD","Luis Enrique Alonso / Carlos J. Fernandez Rodriguez",27900,"https://www.yenny-elateneo.com/productos/capitalismo-y-personalidad/","Catarata","Tapa Blanda",240,"11/2024",116.25,2024
"EL GARAGE DE TUS SUEÑOS","Agustin Remondino",27900,"https://www.yenny-elateneo.com/productos/el-garage-de-tus-suenos/","Lid","Tapa Blanda",128,"11/2024",217.96875,2024
"VOLVER A SER GRANDES","Federico Dominguez",24000,"https://www.yenny-elateneo.com/productos/volver-a-ser-grandes/","Galerna","Tapa Blanda",230,"10/2024",104.347826086957,2024
"LA CIENCIA DE HACERSE RICO","Wallace D. Wattles",18431,"https://www.yenny-elateneo.com/productos/la-ciencia-de-hacerse-rico2/","Biblok","Tapa Blanda",224,"10/2021",82.28125,2021
"KEYNES","Peter Temin / David Vines",29300,"https://www.yenny-elateneo.com/productos/keynes1/","Ned Ediciones","Tapa Blanda",192,"05/2019",152.604166666667,2019
"SEO TECNICO","Anaya",43612.6,"https://www.yenny-elateneo.com/productos/seo-tecnico/","Anaya","Tapa Blanda",NA,"10/2024",NA,2024
"EL FINAL DE LAS CRISIS ECONOMICAS NACIONALES","Anaya",33526.64,"https://www.yenny-elateneo.com/productos/el-final-de-las-crisis-economicas-nacionales/","Anaya","Tapa Blanda",NA,"10/2024",NA,2024
"CODESARROLLO","Martha Alicia Alles",45400,"https://www.yenny-elateneo.com/productos/codesarrollo/","Granica","Tapa Blanda",360,"04/2009",126.111111111111,2009
"CONDUCIR AL CAPITAL . ESTADO O MERCADO UNA FALSA DICOTOMIA","Delfina Rossi",25990,"https://www.yenny-elateneo.com/productos/conducir-al-capital-estado-o-mercado-una-falsa-dicotomia/","Continente","Tapa Blanda",192,"09/2024",135.364583333333,2024
"PARADOJA LA - ED. REVISADA","James C. Hunter",21800,"https://www.yenny-elateneo.com/productos/paradoja-la-ed-revisada/","Empresa Activa","Tapa Blanda",192,"09/2024",113.541666666667,2024
"DE BUHOS Y LABERINTOS","Eduardo Delle Ville",20000,"https://www.yenny-elateneo.com/productos/de-buhos-y-laberintos/","Nuevo Hacer","Tapa Blanda",286,"08/2024",69.9300699300699,2024
"PROCESOS DEL SEGUNDO TIEMPO","Enrique Jaime Portnoy",10000,"https://www.yenny-elateneo.com/productos/procesos-del-segundo-tiempo/","Dunken","Tapa Blanda",NA,"08/2024",NA,2024
"INNOVACION CONTINUA","Behnam N. Tabrizi",58900,"https://www.yenny-elateneo.com/productos/innovacion-continua/","Profit","Tapa Blanda",262,"08/2024",224.809160305344,2024
"GREAT REVIVE THE","Juan Manuel Roca",38700,"https://www.yenny-elateneo.com/productos/great-revive-the/","Kolima","Tapa Blanda",184,"08/2024",210.326086956522,2024
"POSICIONAMIENTO Y REPUTACION ONLINE","Sico De Andres",38578.36,"https://www.yenny-elateneo.com/productos/posicionamiento-y-reputacion-online/","Anaya","Tapa Blanda",NA,"08/2024",NA,2024
"CURSO DE MARKETING HOTELERO","Oliver Espinosa Sorensen",40256.44,"https://www.yenny-elateneo.com/productos/curso-de-marketing-hotelero/","Anaya","Tapa Blanda",NA,"08/2024",NA,2024
"LOS SECRETOS DE LAS MARCAS","Fernando De Cordoba",38980.4,"https://www.yenny-elateneo.com/productos/los-secretos-de-las-marcas/","Kailas","Tapa Blanda",384,"07/2024",101.511458333333,2024
"GENEROS Y PULSIONES EN EL COMPORTAMIENTO ORGANIZACIONAL","Emmanuel Oliverio",28000,"https://www.yenny-elateneo.com/productos/generos-y-pulsiones-en-el-comportamiento-organizacional/","Pluma Digital","Tapa Blanda",176,"07/2024",159.090909090909,2024
"VENDE COMO BEZOS","Carmine Gallo",64700,"https://www.yenny-elateneo.com/productos/vende-como-bezos/","Profit","Tapa Blanda",302,"06/2024",214.238410596026,2024
"PRESENTA TUS IDEAS CON FORMA DE VIRUS","Enric Llado",34700,"https://www.yenny-elateneo.com/productos/presenta-tus-ideas-con-forma-de-virus/","Kolima","Tapa Blanda",166,"06/2024",209.036144578313,2024
"EL SISTEMA DE CREDITO SOCIAL CHINO","Avaro Dante",22600,"https://www.yenny-elateneo.com/productos/el-sistema-de-credito-social-chino/","Biblos","Tapa Blanda",224,"05/2024",100.892857142857,2024
"MANUAL DEL SUEÑO AMERICANO","Esteban Morano",38900,"https://www.yenny-elateneo.com/productos/manual-del-sueno-americano/","Planeta","Tapa Blanda",352,"05/2024",110.511363636364,2024
"LO QUE NO ME DIJERON DE EMPRENDER","Veronica Aviles",26300,"https://www.yenny-elateneo.com/productos/lo-que-no-me-dijeron-de-emprender/","Renacer","Tapa Blanda",192,"04/2024",136.979166666667,2024
"ALMA EMPRENDEDORA","Virginia Suarez Dratman",24500,"https://www.yenny-elateneo.com/productos/alma-emprendedora/","Del Fondo Editorial","Tapa Blanda",214,"04/2024",114.485981308411,2024
"SER EL PRIMERO","Alejandro Condomi Alcorta",29000,"https://www.yenny-elateneo.com/productos/ser-el-primero/","The Orlando Books","Tapa Blanda",240,"04/2024",120.833333333333,2024
"EL ARTE DE SUBIR (Y BAJAR) LA MONTAÑA","Marcos Pena",27190,"https://www.yenny-elateneo.com/productos/el-arte-de-subir-y-bajar-la-montana/","Siglo Xxi Editores Argentina","Tapa Blanda",256,"03/2024",106.2109375,2024
"EMPRENDEDOR QUIEN LO LEA","Euge Oller",15990,"https://www.yenny-elateneo.com/productos/emprendedor-quien-lo-lea/","Emprenbooks","Tapa Blanda",NA,"03/2024",NA,2024
"MILLONES EN BIENES RAICES","Gaston Gregorio",29000,"https://www.yenny-elateneo.com/productos/millones-en-bienes-raices/","Fripp Editor","Tapa Blanda",202,"03/2024",143.564356435644,2024
"TODO VALIO LA PENA","Maria Laura Tramezzani",27500,"https://www.yenny-elateneo.com/productos/todo-valio-la-pena/","Granica","Tapa Blanda",172,"03/2024",159.883720930233,2024
"EL GRAN ENGAÑO","Mariana Mazzucato / Rosie Collington",37799,"https://www.yenny-elateneo.com/productos/el-gran-engano/","Taurus","Tapa Blanda",392,"01/2024",96.4260204081633,2024
"METODO MAPA DE PRODUCTIVIDAD PERSONAL","Cesar Piqueras",46200,"https://www.yenny-elateneo.com/productos/metodo-mapa-de-productividad-personal/","Profit","Tapa Blanda",168,"01/2024",275,2024
"SOY MARCA","Luis Angel Diaz",35900,"https://www.yenny-elateneo.com/productos/soy-marca/","Profit","Tapa Blanda",168,"01/2024",213.690476190476,2024
"GUIA ARGENTINA DE FRANQUICIAS 2024","Roberto Russo",30000,"https://www.yenny-elateneo.com/productos/guia-argentina-de-franquicias-2024/","Best De Argentina","Tapa Blanda",356,"01/2024",84.2696629213483,2024
"LA VENTA","Jon Gordon / Alex Demczak",17600,"https://www.yenny-elateneo.com/productos/la-venta/","Ediciones Urano","Tapa Blanda",160,"01/2024",110,2024
"HUMAN RETAIL","Marcos Alvarez",46200,"https://www.yenny-elateneo.com/productos/human-retail/","Profit","Tapa Blanda",208,"01/2024",222.115384615385,2024
"AUTOGESTION","Alejo Ecube",46200,"https://www.yenny-elateneo.com/productos/autogestion/","Profit","Tapa Blanda",176,"01/2024",262.5,2024
"EMPRESAS QUE CRECEN CON ALMA","Angel Bonet",50800,"https://www.yenny-elateneo.com/productos/empresas-que-crecen-con-alma/","Profit","Tapa Blanda",222,"01/2024",228.828828828829,2024
"LOS 10 HABITOS CLAVE PARA GESTIONAR EMPRESAS Y NEGOCIOS COMPETITIVOS","Lluis Cuatrecasas",58900,"https://www.yenny-elateneo.com/productos/los-10-habitos-clave-para-gestionar-empresas-y-negocios-competitivos/","Profit","Tapa Blanda",280,"01/2024",210.357142857143,2024
"MIAMI EN TUS MANOS","Eliana Silva",7000,"https://www.yenny-elateneo.com/productos/miami-en-tus-manos/","Dunken","Tapa Blanda",NA,"12/2023",NA,2023
"ACTITUD Y ACCION","Juanita Acevedo Segura",46200,"https://www.yenny-elateneo.com/productos/actitud-y-accion/","Profit","Tapa Blanda",198,"12/2023",233.333333333333,2023
"SAY THANK YOU","Jim Edwards",46200,"https://www.yenny-elateneo.com/productos/say-thank-you/","Profit","Tapa Blanda",226,"12/2023",204.424778761062,2023
"CONECTA (GETTING ALONG)","Amy Gallo",46200,"https://www.yenny-elateneo.com/productos/conecta-getting-along/","Profit","Tapa Blanda",280,"12/2023",165,2023
"PRIMERO LOS EMPLEADOS LOS CLIENTES DESPUES","Vineet Nayar",46200,"https://www.yenny-elateneo.com/productos/primero-los-empleados-los-clientes-despues/","Profit","Tapa Blanda",176,"12/2023",262.5,2023
"LA HISTORIA DE TRECE","Maiti Luiggi Sarrias",42500,"https://www.yenny-elateneo.com/productos/la-historia-de-trece/","Profit","Tapa Blanda",162,"10/2022",262.345679012346,2022
"COMO EMPEZAR","Michael Bungay Stanier",25900,"https://www.yenny-elateneo.com/productos/como-empezar/","Empresa Activa","Tapa Blanda",224,"10/2022",115.625,2022
"LA RESPONSABILIDAD SOCIAL EMPRESARIA EN EL CAPITALISMO TARDIO","Carlos Molinari",17700,"https://www.yenny-elateneo.com/productos/la-responsabilidad-social-empresaria-en-el-capitalismo-tardio/","Biblos","Tapa Blanda",182,"10/2022",97.2527472527473,2022
"NET POSITIVE","Paul Polman / Andrew Winston",63700,"https://www.yenny-elateneo.com/productos/net-positive/","Profit","Tapa Blanda",400,"09/2022",159.25,2022
"MANUAL DE ORGANIZACION E INGENIERIA DE LA PRODUCCION Y GESTION DE OPERACIONES","Lluis Cuatrecasas",181000,"https://www.yenny-elateneo.com/productos/manual-de-organizacion-e-ingenieria-de-la-produccion-y-gestion-de-operaciones/","Profit","Tapa Blanda",704,"09/2022",257.102272727273,2022
"CRECER HACIENDO CRECER. EMPRESAS CONSISTENTES","Xavier Marcet",38700,"https://www.yenny-elateneo.com/productos/crecer-haciendo-crecer-empresas-consistentes/","Plataforma Editorial","Tapa Blanda",224,"09/2022",172.767857142857,2022
