"","editorial","paginas","anio","id_libro"
"260","GRANICA
","272
","01/01/2020
",260
"261","REVERTE
","246
","01/01/2016
",261
"262","DEBOLSILLO
","320
","01/01/2021
",262
"263","DEBOLSILLO
","208
","01/01/2020
",263
"264","DEBOLSILLO
","208
","01/01/2020
",264
"265","BIBLOS
","128
","01/01/2016
",265
"266","COOPERATIVAS
","138
","01/01/2008
",266
"267","LA CRUJIA
","214
","01/01/2013
",267
"268","PROMETEO LIBROS
","160
","01/01/2018
",268
"269","PROMETEO LIBROS
","350
","01/01/2018
",269
"270","TEMAS GRUPO EDITORIAL
","182
","01/01/2019
",270
"271","FERNANDO CEJAS
","284
","01/01/2020
",271
"272","FERNANDO CEJAS
","10
","01/01/2021
",272
"273","EMPRESA ACTIVA
","216
","01/01/2022
",273
"274","EMPRESA ACTIVA
","224
","01/01/2022
",274
"275","EMPRESA ACTIVA
","224
","01/01/2022
",275
"276","EMPRESA ACTIVA
","288
","01/01/2022
",276
"277","TEMAS GRUPO EDITORIAL
","394
","01/01/2012
",277
"278","TEMAS GRUPO EDITORIAL
","194
","01/01/2012
",278
"279","EDUNLA COOPERATIVA
","10
","01/01/2017
",279
"280","EL COLECTIVO
","348
","01/01/2011
",280
"281","PARANINFO
","186
","01/01/2016
",281
"282","MARCOMBO
","868
","01/01/2017
",282
"283","ERREPAR
","10
","01/01/2021
",283
"284","PROFIT
","224
","01/01/2021
",284
"285","ALFAOMEGA GRUPO EDITOR
","840
","01/01/2013
",285
"286","TEMAS GRUPO EDITORIAL
","296
","01/01/2011
",286
"287","REVERTE
","128
","01/01/2021
",287
"288","REVERTE
","10
","01/01/2021
",288
"289","REVERTE
","10
","01/01/2022
",289
"290","HOAKI
","160
","01/01/2019
",290
"291","PROFIT
","184
","01/01/2019
",291
"292","PROFIT
","264
","01/01/2018
",292
"293","PROFIT
","160
","01/01/2018
",293
"294","PROFIT
","10
","01/01/2018
",294
"295","PROFIT
","176
","01/01/2018
",295
"296","PROFIT
","168
","01/01/2017
",296
"297","PROFIT
","224
","01/01/2017
",297
"298","PROFIT
","176
","01/01/2018
",298
"299","PROFIT
","176
","01/01/2018
",299
"300","PLATAFORMA EDITORIAL
","206
","01/01/2016
",300
"301","GRANICA
","120
","01/01/2019
",301
"302","GRANICA
","308
","01/01/2017
",302
"303","GRANICA
","280
","01/01/2013
",303
"304","GRANICA
","280
","01/01/2013
",304
"305","GRANICA
","376
","01/01/2014
",305
"306","GRANICA
","224
","01/01/2016
",306
"307","GRANICA
","128
","01/01/2016
",307
"308","GRANICA
","356
","01/01/2012
",308
"309","GRANICA
","224
","01/01/2016
",309
"310","GRANICA
","320
","01/01/2012
",310
"311","GRANICA
","272
","01/01/2014
",311
"312","GRANICA
","256
","01/01/2016
",312
"313","GRANICA
","488
","01/01/2013
",313
"314","GRANICA
","160
","01/01/2000
",314
"315","GRANICA
","368
","01/01/2007
",315
"316","GRANICA
","544
","01/01/2004
",316
"317","GRANICA
","328
","01/01/2007
",317
"318","GRANICA
","608
","01/01/2004
",318
"319","MACRO
","240
","01/01/2018
",319
"320","MACRO
","10
","01/01/2018
",320
"321","ALSINA
","288
","01/01/2006
",321
"322","EDHASA
","344
","01/01/2018
",322
"323","CAPITAL INTELECTUAL
","160
","01/01/2015
",323
"324","ESIC
","224
","01/01/2000
",324
"325","EDITORIAL LEXUS
","288
","01/01/2018
",325
"326","UGERMAN EDITOR
","320
","01/01/2023
",326
"327","OBELISCO
","10
","01/01/2025
",327
"328","VERGARA
","256
","01/01/2018
",328
"329",NA,"168
","01/01/2014
",329
"330","GRANICA
","176
","01/01/2011
",330
"331","PROFIT
","136
","01/01/2016
",331
"332","V&R EDITORAS SA
","192
","01/01/2025
",332
"333","V&R EDITORAS SA
","136
","01/01/2025
",333
"334","V&R EDITORAS SA
","112
","01/01/2025
",334
"335","V&R EDITORAS SA
","112
","01/01/2025
",335
"336","V&R EDITORAS SA
","96
","01/01/2025
",336
"337","PROFIT
","10
","01/01/2024
",337
"338","PAIDOS
","1248
","01/01/2019
",338
"339","TEMAS GRUPO EDITORIAL
","186
","01/01/2022
",339
"340","PROFIT
","200
","01/01/2019
",340
"341","Unión Editorial
","253
","01/01/2020
",341
