"","titulo","autor","precio","enlace","id_libro"
"1349","1. EL CAPITAL  VOL 3  PROCESO DE PRODUCCION DEL CAPITAL","MARX, KARL","$ 24.790,00","https://cuspide.com/producto/1-el-capital-vol-3-proceso-de-produccion-del-capital/",1349
"1350","1. EL CAPITAL  VOL 2  EL PROCESO DE PRODUCCION DEL CAPITAL","MARX, KARL","$ 24.790,00","https://cuspide.com/producto/1-el-capital-vol-2-el-proceso-de-produccion-del-capital/",1350
"1351","VIVA EL SOCIALISMO !","PIKETTY, THOMAS","$ 35.900,00","https://cuspide.com/producto/viva-el-socialismo/",1351
"1352","MARX HA VUELTO","BENSAID, DANIEL","$ 22.000,00","https://cuspide.com/producto/marx-ha-vuelto/",1352
"1353","UN LIDER EN VOS","COSTANTINI, ISELA","$ 38.299,00","https://cuspide.com/producto/un-lider-en-vos/",1353
"1354","ECONOMIA FEMINISTA","D'ALESSANDRO, MERCEDES","$ 37.799,00","https://cuspide.com/producto/economia-feminista/",1354
"1355","HACIA UNA CULTURA SOCIAL INNOVADORA","ARBONIES ORTIZ, ANGEL L.","$ 29.141,00","https://cuspide.com/producto/hacia-una-cultura-social-innovadora/",1355
"1356","INVESTIGACION DE MERCADOS","ALONSO DOS SANTOS, MANUEL","$ 31.169,00","https://cuspide.com/producto/investigacion-de-mercados/",1356
"1357","RITMO EMPRESARIAL","BAGUER ALCALA, ANGEL","$ 19.687,00","https://cuspide.com/producto/ritmo-empresarial/",1357
"1358","MANAGEMENT PARA DESPUES DE LA CRISIS","CORMA CANOS, FRANCISCO","$ 37.689,50","https://cuspide.com/producto/management-para-despues-de-la-crisis/",1358
"1359","ECONOMIA DEL BIEN COMUN",NA,"$ 36.900,00","https://cuspide.com/producto/economia-del-bien-comun/",1359
"1360","ARQUITECTURA FINANCIERA INTERNACIONAL","UGARTECHE, OSCAR","$ 38.400,00","https://cuspide.com/producto/arquitectura-financiera-internacional/",1360
"1361","LIDERA CON GRATITUD","GOSTICK, ADRIAN","$ 23.000,00","https://cuspide.com/producto/lidera-con-gratitud/",1361
"1362","LIDERES DE HOY","HOCH, MARIA GABRIELA","$ 22.900,00","https://cuspide.com/producto/lideres-de-hoy-2/",1362
"1363","MODO DISEÑO","PELLEGRINI, FRANCO","$ 28.000,00","https://cuspide.com/producto/modo-diseno/",1363
"1364","PUEDE FALLAR","BORENSTEIN, ANDRES; LLORENS, G...","$ 43.900,00","https://cuspide.com/producto/puede-fallar/",1364
"1365","HISTORIAS QUE MARCAN","HERRERA FERNANDEZ, EDUARDO","$ 36.000,00","https://cuspide.com/producto/historias-que-marcan/",1365
"1366","INFIERNO","HATUM, ANDRES","$ 26.999,00","https://cuspide.com/producto/infierno-2/",1366
"1367","DESCUBRASE COMO LIDER","CARNEGIE, DALE","$ 38.299,00","https://cuspide.com/producto/descubrase-como-lider/",1367
"1368","FRAGMENTADOS","HATUM, ANDRES","$ 26.999,00","https://cuspide.com/producto/fragmentados/",1368
"1369","ARGENTINA HIPERACELERADA","DOMINGUEZ, FEDERICO","$ 28.900,00","https://cuspide.com/producto/argentina-hiperacelerada/",1369
"1370","EL CAMINO","ROBBINS, TONY","$ 36.900,00","https://cuspide.com/producto/el-camino/",1370
"1371","CARRERAS EXTRAORDINARIAS PARA GENTE COMUN","HATUM, ANDRES","$ 37.799,00","https://cuspide.com/producto/carreras-extraordinarias-para-gente-comun/",1371
"1372","EL ANTILIDER","HATUM, ANDRES","$ 37.799,00","https://cuspide.com/producto/el-antilider/",1372
"1373","LA TERCERA ALTERNATIVA","COVEY, STEPHEN R.","$ 44.900,00","https://cuspide.com/producto/la-tercera-alternativa/",1373
"1374","DEL ORO AL BITCOIN","BHATIA, NIK","$ 23.900,00","https://cuspide.com/producto/del-oro-al-bitcoin/",1374
"1375","CRECE Y HAZTE RICO","FONS, ROMUALD","$ 36.900,00","https://cuspide.com/producto/crece-y-hazte-rico/",1375
"1376","TIEMPOS PARA VALIENTES","MELAMED, ALEJANDRO","$ 41.900,00","https://cuspide.com/producto/tiempos-para-valientes/",1376
"1377","DE CERO A RICO","GOMEZ GOMEZ, JUAN DIEGO","$ 28.900,00","https://cuspide.com/producto/de-cero-a-rico/",1377
"1378","LIDER , EQUIPO , MARCA , PRODUCTO","AVALOS, TITO","$ 36.900,00","https://cuspide.com/producto/lider-equipo-marca-producto/",1378
"1379","ES LA ECONOMIA, VOS NO SOS ESTUPIDA","POZZO, ESTEFANIA","$ 28.900,00","https://cuspide.com/producto/es-la-economia-vos-no-sos-estupida/",1379
"1380","MANUAL PARA IRREVERENTES","GOMEZ GOMEZ, JUAN DIEGO","$ 28.900,00","https://cuspide.com/producto/manual-para-irreverentes/",1380
"1381","ESTAMOS CIEGOS","KLARIC, JURGEN","$ 35.900,00","https://cuspide.com/producto/estamos-ciegos/",1381
"1382","TRES FORMAS DE TOMAR UN HELADO","ESPECHE, ENRIQUE","$ 24.900,00","https://cuspide.com/producto/tres-formas-de-tomar-un-helado/",1382
"1383","LA TOMA DE DECISIONES","LAZZATI, SANTIAGO","$ 35.300,00","https://cuspide.com/producto/la-toma-de-decisiones/",1383
"1384","EL METODO DE LA INNOVACION CREATIVA","SABBAGH, AARON; MACKINLAY, MAT...","$ 31.300,00","https://cuspide.com/producto/el-metodo-de-la-innovacion-creativa/",1384
"1385","LA VIDA SECRETA","O'HAGAN, ANDREW","$ 29.700,00","https://cuspide.com/producto/la-vida-secreta/",1385
"1386","LA DECISION","GOLDRATT, ELIYAHU M.; GOLDRATT...","$ 32.900,00","https://cuspide.com/producto/la-decision/",1386
"1387","COMO EVALUAR LAS ACCIONES DE CAPACITACION","PAIN, ABRAHAM","$ 27.800,00","https://cuspide.com/producto/como-evaluar-las-acciones-de-capacitacion/",1387
"1388","COMUNICACION NO VERBAL","RULICKI, SERGIO; CHERNY, MARTI...","$ 30.300,00","https://cuspide.com/producto/comunicacion-no-verbal/",1388
"1389","EL PROCESO DE MEDIACION","MOORE, CHRISTOPHER","$ 65.400,00","https://cuspide.com/producto/el-proceso-de-mediacion/",1389
"1390","EL GRAN SALTO","FLOR, MARTINA","$ 33.000,00","https://cuspide.com/producto/el-gran-salto/",1390
"1391","LIDERAZGO ETICO","TORRALBA, FRANCESC","$ 18.500,00","https://cuspide.com/producto/liderazgo-etico/",1391
"1392","DIRECCION ESTRATEGICA DE RR.HH. VOL I","ALLES, MARTHA","$ 55.900,00","https://cuspide.com/producto/direccion-estrategica-de-rr-hh-vol-i/",1392
"1393","DIGITALMENTE REBELDES","BOVIO, MATEO","$ 18.500,00","https://cuspide.com/producto/digitalmente-rebeldes/",1393
"1394","TRABAJO  DESARROLLO  DIVERSIDAD  POLITICAS Y METODOLOGIAS DE DESARROLLO","HERAS, ANA INES","$ 38.000,00","https://cuspide.com/producto/trabajo-desarrollo-diversidad-politicas-y-metodologias-de-desarrollo/",1394
"1395","MONEDA SOCIAL Y MERCADOS SOLIDARIOS","PLASENCIA, ADELA; ORZI, RICARD...","$ 20.600,00","https://cuspide.com/producto/moneda-social-y-mercados-solidarios/",1395
"1396","DESARROLLO LOCAL","BURIN, DAVID; HERAS, ANA INES","$ 30.500,00","https://cuspide.com/producto/desarrollo-local/",1396
"1397","COMO CREAR Y GESTIONAR UNA EMPRESA DE ESTETICA","VALERO, ASUNCION","$ 17.000,00","https://cuspide.com/producto/como-crear-y-gestionar-una-empresa-de-estetica/",1397
"1398","LAS 11 LLAVES","KURT, N. C.","$ 25.900,00","https://cuspide.com/producto/las-11-llaves/",1398
"1399","EL FACTOR HUMANO","FLORIN, SOFIA","$ 28.000,00","https://cuspide.com/producto/el-factor-humano/",1399
"1400","LOS SECTORES DOMINANTES EN LA ARGENTINA","BASUALDO, EDUARDO","$ 26.390,00","https://cuspide.com/producto/los-sectores-dominantes-en-la-argentina/",1400
"1401","OTRO CAPITALISMO TIENE QUE SER POSIBLE","JACOBS, MICHAEL; MAZZUCATO, MA...","$ 29.990,00","https://cuspide.com/producto/otro-capitalismo-tiene-que-ser-posible/",1401
"1402","INFLACION  POR QUE ARGENTINA NO SE LA PUEDE SACAR DE ENCIMA?","TELECHEA, JUAN MANUEL","$ 24.490,00","https://cuspide.com/producto/inflacion-por-que-argentina-no-se-la-puede-sacar-de-encima/",1402
"1403","EMPRENDEDORES DE LA ECONOMIA SOCIAL","ELGUE, MARIO CESAR","$ 19.600,00","https://cuspide.com/producto/emprendedores-de-la-economia-social/",1403
"1404","EL DIECIOCHO BRUMARIO DE LUIS BONAPARTE","MARX, KARL","$ 19.990,00","https://cuspide.com/producto/el-dieciocho-brumario-de-luis-bonaparte/",1404
"1405","OBRAS SELECTAS DE NAPOLEON HILL .5 VOLUMENES","HILL, NAPOLEON","$ 119.000,00","https://cuspide.com/producto/obras-selectas-de-napoleon-hill-5-volumenes/",1405
"1406","HACKEAR LA ARGENTINA","AMOROSO, CAROLINA; MEIRIO, JUA...","$ 14.900,00","https://cuspide.com/producto/hackear-la-argentina/",1406
"1407","APASIONATE POR TUS VENTAS","FIGUEROA, MERY","$ 28.500,00","https://cuspide.com/producto/apasionate-por-tus-ventas/",1407
"1408","COMO ORGANIZARTE EN UN MUNDO VERTIGINOSO","PEREZ, JULIO","$ 25.900,00","https://cuspide.com/producto/como-organizarte-en-un-mundo-vertiginoso/",1408
"1409","ECONOMIAS DEL BUEN VIVIR",NA,"$ 45.700,00","https://cuspide.com/producto/economias-del-buen-vivir/",1409
"1410","ALTA NEGRA","CABRERA, EVELINA","$ 26.999,00","https://cuspide.com/producto/alta-negra/",1410
"1411","AHORA TE PUEDES MARCHAR … O NO","PICCIOLI, LEO","$ 17.300,00","https://cuspide.com/producto/ahora-te-puedes-marchar-o-no/",1411
"1412","QUE COMPRAN LOS QUE TIENEN DINERO","MENDOZA PEA, GERARDO","$ 14.000,00","https://cuspide.com/producto/que-compran-los-que-tienen-dinero/",1412
