"result.editorial","result.encuadernacion","result.paginas","result.publicacion"
Profit,Tapa Blanda,N° 264,06/2025
Amat,Tapa Blanda,N° 188,06/2025
Amat,Tapa Blanda,N° 208,06/2025
Granica,Tapa Blanda,N° 472,06/2025
Hoepli,Tapa Blanda,N° 208,06/2025
Hoepli,Tapa Blanda,N° 176,06/2025
Hoepli,Tapa Blanda,N° 280,06/2025
Hoepli,Tapa Blanda,N° 288,06/2025
Hoepli,Tapa Blanda,N° 240,06/2025
Hoepli,Tapa Blanda,N° 256,06/2025
Granica,Tapa Blanda,N° 136,01/2005
Hojas Del Sur,Tapa Blanda,N° 256,05/2025
Libero,Tapa Blanda,N° 214,05/2025
Libero,Tapa Blanda,N° 554,05/2025
Libero,Tapa Blanda,N° 290,05/2025
Libero,Tapa Blanda,N° 178,05/2025
Pluma Digital,Tapa Blanda,N° 350,10/2017
Profit,Tapa Blanda,N° 222,05/2025
Profit,Tapa Blanda,N° 372,05/2025
Jc Saez Editor,Tapa Blanda,N° 388,05/2025
Antroposofica,Tapa Blanda,N° 234,11/2011
Eudeba,Tapa Blanda,N° 200,04/2025
Ediciones B,Tapa Blanda,N° 256,04/2025
Temas Grupo Editorial Srl,Tapa Blanda,N° 176,04/2025
Profit,Tapa Blanda,N° 128,04/2025
Profit,Tapa Blanda,N° 128,04/2025
Profit,Tapa Blanda,N° 304,04/2025
Plataforma Editorial,Tapa Blanda,N° 152,04/2025
Emprenbooks,Tapa Blanda,N° 303,04/2025
Sudamericana,Tapa Blanda,N° 192,05/2019
Temas Grupo Editorial Srl,Tapa Blanda,N° 164,03/2025
Debols!llo,Tapa Blanda,N° 584,03/2025
Profit,Tapa Blanda,N° 264,02/2025
Profit,Tapa Blanda,N° 200,02/2025
Profit,Tapa Blanda,N° 268,02/2025
Imago Mundi,Tapa Blanda,N° 642,02/2025
Profit,Tapa Blanda,N° 168,02/2025
Editorial Sirio,Tapa Blanda,N° 360,02/2025
Penguin Books,Tapa Blanda,NA,01/2025
Berkley,Tapa Blanda,NA,01/2025
Arpa,Tapa Blanda,N° 520,01/2025
Renacer,Tapa Blanda,N° 240,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Dunken,Tapa Blanda,N° 256,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Mestas,Tapa Blanda,NA,01/2025
Profit,Tapa Blanda,N° 128,12/2024
Profit,Tapa Blanda,N° 128,12/2024
Profit,Tapa Blanda,N° 208,12/2024
Rm,Tapa Blanda,NA,12/2024
Urano,Tapa Blanda,N° 272,03/2020
Reverte,Tapa Blanda,N° 256,12/2018
Reverte,Tapa Blanda,N° 148,07/2022
Reverte,Tapa Blanda,N° 286,12/2019
Reverte,Tapa Blanda,N° 306,12/2019
Reverte,Tapa Blanda,N° 245,09/2019
Reverte,Tapa Dura,N° 520,05/2017
Reverte,Tapa Blanda,N° 610,05/2017
Reverte,Tapa Blanda,N° 800,05/2017
Reverte,Tapa Blanda,NA,05/2023
Reverte,Tapa Blanda,N° 484,07/2022
Reverte,Tapa Blanda,N° 435,07/2022
Fondo De Cultura Economica,Tapa Blanda,N° 360,12/2024
V & R Editoras,Tapa Blanda,N° 168,10/2014
Profit,Tapa Blanda,N° 128,11/2024
Profit,Tapa Blanda,N° 128,11/2024
Profit,Tapa Blanda,N° 128,11/2024
Alianza,Tapa Blanda,N° 252,02/2015
Dunken,Tapa Blanda,NA,11/2024
Piramide,Tapa Blanda,N° 296,04/2016
Catarata,Tapa Blanda,N° 240,11/2024
Lid,Tapa Blanda,N° 128,11/2024
Galerna,Tapa Blanda,N° 230,10/2024
Biblok,Tapa Blanda,N° 224,10/2021
Ned Ediciones,Tapa Blanda,N° 192,05/2019
Anaya,Tapa Blanda,NA,10/2024
Anaya,Tapa Blanda,NA,10/2024
Granica,Tapa Blanda,N° 360,04/2009
Continente,Tapa Blanda,N° 192,09/2024
Empresa Activa,Tapa Blanda,N° 192,09/2024
Nuevo Hacer,Tapa Blanda,N° 286,08/2024
Dunken,Tapa Blanda,NA,08/2024
Profit,Tapa Blanda,N° 262,08/2024
Kolima,Tapa Blanda,N° 184,08/2024
Anaya,Tapa Blanda,NA,08/2024
Anaya,Tapa Blanda,NA,08/2024
Kailas,Tapa Blanda,N° 384,07/2024
Pluma Digital,Tapa Blanda,N° 176,07/2024
Profit,Tapa Blanda,N° 302,06/2024
Kolima,Tapa Blanda,N° 166,06/2024
Biblos,Tapa Blanda,N° 224,05/2024
Planeta,Tapa Blanda,N° 352,05/2024
Renacer,Tapa Blanda,N° 192,04/2024
Del Fondo Editorial,Tapa Blanda,N° 214,04/2024
The Orlando Books,Tapa Blanda,N° 240,04/2024
Siglo Xxi Editores Argentina,Tapa Blanda,N° 256,03/2024
Emprenbooks,Tapa Blanda,NA,03/2024
Fripp Editor,Tapa Blanda,N° 202,03/2024
Granica,Tapa Blanda,N° 172,03/2024
Taurus,Tapa Blanda,N° 392,01/2024
Profit,Tapa Blanda,N° 168,01/2024
Profit,Tapa Blanda,N° 168,01/2024
Best De Argentina,Tapa Blanda,N° 356,01/2024
Ediciones Urano,Tapa Blanda,N° 160,01/2024
Profit,Tapa Blanda,N° 208,01/2024
Profit,Tapa Blanda,N° 176,01/2024
Profit,Tapa Blanda,N° 222,01/2024
Profit,Tapa Blanda,N° 280,01/2024
Dunken,Tapa Blanda,NA,12/2023
Profit,Tapa Blanda,N° 198,12/2023
Profit,Tapa Blanda,N° 226,12/2023
Profit,Tapa Blanda,N° 280,12/2023
Profit,Tapa Blanda,N° 176,12/2023
Profit,Tapa Blanda,N° 162,10/2022
