"titulo","autor","precio","enlace"
"LAS REGLAS DE LA CONFIANZA","Bob Lee / Emilia Montero / Luis Riva","$25.990,00","https://www.yenny-elateneo.com/productos/las-reglas-de-la-confianza/"
"ARGENTINA PRIMERO","Martin Redrado","$35.699,00","https://www.yenny-elateneo.com/productos/argentina-primero/"
"EMPRESARIOS Y ESTADO EN ARGENTINA","Claudio Belini","$31.200,00","https://www.yenny-elateneo.com/productos/empresarios-y-estado-en-argentina/"
"MISION BLABLACAR","Benoit Reillier","$29.400,00","https://www.yenny-elateneo.com/productos/mision-blablacar/"
"ANGELES Y DEMONIOS DE LA FAMILIA EMPRESARIA","Jordi Tarragona Coromina","$40.600,00","https://www.yenny-elateneo.com/productos/angeles-y-demonios-de-la-familia-empresaria/"
"SELF-MANAGEMENT","Leonardo Ravier","$43.900,00","https://www.yenny-elateneo.com/productos/self-management/"
"VENTA POSITIVA","Nuria Martin","$54.500,00","https://www.yenny-elateneo.com/productos/venta-positiva/"
"JUNTOS","Cesar Piqueras","$42.500,00","https://www.yenny-elateneo.com/productos/juntos/"
"EL BENEFICIO","Georges Escribano / Alex Rovira","$32.800,00","https://www.yenny-elateneo.com/productos/el-beneficio/"
"CAJA DE HERRAMIENTAS PARA REPARAR LA ARGENTINA","Oscar Binello","$4.900,00","https://www.yenny-elateneo.com/productos/caja-de-herramientas-para-reparar-la-argentina/"
"TU PROPIO EQUIPO CREATIVO","Dorling Kindersley","$4.195,20","https://www.yenny-elateneo.com/productos/tu-propio-equipo-creativo/"
"DOMINAR EL ARTE DEL FEEDBACK","Dorling Kindersley","$4.195,20","https://www.yenny-elateneo.com/productos/dominar-el-arte-del-feedback/"
"GANARSE AL JEFE O EL ARTE DE PROMOCIONARSE","Dorling Kindersley","$4.195,20","https://www.yenny-elateneo.com/productos/ganarse-al-jefe-o-el-arte-de-promocionarse/"
"EL CAMINO","Tony J. Robbins","$36.900,00","https://www.yenny-elateneo.com/productos/el-camino/"
"OTRO CAPITALISMO TIENE QUE SER POSIBLE","Mariana Mazzucato / Michael Jacobs","$29.990,00","https://www.yenny-elateneo.com/productos/otro-capitalismo-tiene-que-ser-posible/"
"IMPULSO MILLONARIO","Gerardo Garcia Manjarrez","$20.500,00","https://www.yenny-elateneo.com/productos/impulso-millonario/"
"ERRANDO EL TIRO","Eric Barker","$25.400,00","https://www.yenny-elateneo.com/productos/errando-el-tiro/"
"SOSTENIBILIDAD CON PROPOSITO","Ana Palencia","$42.500,00","https://www.yenny-elateneo.com/productos/sostenibilidad-con-proposito/"
"MOCHILA ARGENTINA","Teddy Karagozian","$18.990,00","https://www.yenny-elateneo.com/productos/mochila-argentina/"
"COMUSICACION","Adolfo Corujo","$44.800,00","https://www.yenny-elateneo.com/productos/comusicacion/"
"CAMBIANDO EL COMPORTAMIENTO DE LOS EMPLEADOS","Nik Kinley / Shlomo Ben-hur","$26.220,00","https://www.yenny-elateneo.com/productos/cambiando-el-comportamiento-de-los-empleados/"
"UNA VIDA QUE VALGA LA PENA","Marshall Goldsmith / Mark Reiter","$29.400,00","https://www.yenny-elateneo.com/productos/una-vida-que-valga-la-pena/"
"EL VIAJE","Josep Maria Gascon","$23.000,00","https://www.yenny-elateneo.com/productos/viaje-el1/"
"REVOLUCION IMPOSITIVA","Teddy Karagozian","$21.890,00","https://www.yenny-elateneo.com/productos/revolucion-impositiva/"
"COMO SALIR DE LA CRISIS","Carlos; Sternberg Sofia Et Al Bianco","$15.190,00","https://www.yenny-elateneo.com/productos/como-salir-de-la-crisis/"
"CAPITAL SALARIO Y CRISIS","Siglo Xxi Editores Mexico","$34.490,00","https://www.yenny-elateneo.com/productos/capital-salario-y-crisis/"
"MEGACAPITALISTAS","Peter Phillips","$37.799,00","https://www.yenny-elateneo.com/productos/megacapitalistas/"
"REPLAY","Ernesto Sandler","$1.200,00","https://www.yenny-elateneo.com/productos/replay/"
"IDEA","Alejandro Masco","$24.990,00","https://www.yenny-elateneo.com/productos/idea/"
"INNOVAR CON VALOR","German Stalker","$32.990,00","https://www.yenny-elateneo.com/productos/innovar-con-valor/"
"TRANSFORMANDO LA CADENA DE SUMINISTRO","John T. Mentzer / J. Paul Dittmann / Reuben E. Slone","$57.400,00","https://www.yenny-elateneo.com/productos/transformando-la-cadena-de-suministro/"
"ECONOMIA DEL MUNDO REAL","Joaquim Verges Jaime","$32.775,00","https://www.yenny-elateneo.com/productos/economia-del-mundo-real/"
"EL TAO DE LOS LIDERES","John Heider","$27.500,00","https://www.yenny-elateneo.com/productos/el-tao-de-los-lideres/"
"LA CAUSA DE LA POBREZA","Ricardo Carlos Sarmiento","$17.000,00","https://www.yenny-elateneo.com/productos/la-causa-de-la-pobreza/"
"HISTORIA NECESARIA DEL BANCO CENTRAL DE LA REPUBLICA ARGENTINA","Florencia Sember / Marcelo Rougier","$33.060,00","https://www.yenny-elateneo.com/productos/historia-necesaria-del-banco-central-de-la-republica-argentina/"
"EMPRESAS RECUPERADAS DE ARGENTINA","Gisela Bustos","$26.800,00","https://www.yenny-elateneo.com/productos/empresas-recuperadas-de-argentina/"
"MASTER EN FINANZAS","Xavier Puig Pla Oriol Amat","$58.900,00","https://www.yenny-elateneo.com/productos/master-en-finanzas/"
"EXCLUSION O RECONOCIMIENTO?","Roberto D Roitman","$15.000,00","https://www.yenny-elateneo.com/productos/exclusion-o-reconocimiento/"
"EL GENIO QUE LLEVAMOS DENTRO","Federico Fros Campelo","$38.299,00","https://www.yenny-elateneo.com/productos/el-genio-que-llevamos-dentro/"
"CINCUENTA INNOVACIONES QUE HAN CAMBIADO","Tim Harford","$38.299,00","https://www.yenny-elateneo.com/productos/cincuenta-innovaciones-que-han-cambiado/"
"BIG DATA COMO ACTIVO DE NEGOCIO","Gemma Munoz / Eduardo Sanchez","$35.204,72","https://www.yenny-elateneo.com/productos/big-data-como-activo-de-negocio/"
"MENOS RESPETO QUE SOY TU JEFE","Veronica Carabajal / Melina Cao / Carolina Levin","$16.400,00","https://www.yenny-elateneo.com/productos/menos-respeto-que-soy-tu-jefe/"
"DIRECCION ESTRATEGICA DE RECURSOS HUMANOS","Natalia Garcia Carbonell / Fernando Martin Alcazar / Gonzalo Sanchez Gardey","$45.290,68","https://www.yenny-elateneo.com/productos/direccion-estrategica-de-recursos-humanos/"
"MANUAL PRACTICO DE NEUROVENTAS","Pablo Augusto Braidot Annecchi","$29.200,00","https://www.yenny-elateneo.com/productos/manual-practico-de-neuroventas/"
"SUPERVISION DE COACHING","Damian Goldvarg","$38.700,00","https://www.yenny-elateneo.com/productos/supervision-de-coaching/"
"PUNTO DE PARTIDA","Fernando D. Massau Chorne","$23.990,00","https://www.yenny-elateneo.com/productos/punto-de-partida/"
"NUEVAS CONVERSACIONES TRASCENDENTALES SOBRE ECONOMIA","Juan Carlos De Pablo","$24.360,00","https://www.yenny-elateneo.com/productos/nuevas-conversaciones-trascendentales-sobre-economia/"
"DE LA BUROCRACIA A LA ORGANIZACION RED","Jorge Walter / Zulema Bez","$26.910,00","https://www.yenny-elateneo.com/productos/de-la-burocracia-a-la-organizacion-red/"
"TU TALENTO ES TU NEGOCIO","Torie Jayne","$19.190,00","https://www.yenny-elateneo.com/productos/tu-talento-es-tu-negocio/"
"MARKETING TURISTICO","Manuel Rey Moreno","$43.700,00","https://www.yenny-elateneo.com/productos/marketing-turistico/"
"CAPITALISMO","Jorge Aleman","$27.600,00","https://www.yenny-elateneo.com/productos/capitalismo/"
"ELIJA AL MEJOR (NUEVA EDICION)","Martha Alles","$52.300,00","https://www.yenny-elateneo.com/productos/elija-al-mejor-nueva-edicion/"
"COBRO DE IMPAGADOS Y NEGOCIACION CON DEUDORES","Pere Brachfield","$46.200,00","https://www.yenny-elateneo.com/productos/cobro-de-impagados-y-negociacion-con-deudores/"
"LOS ESTILOS GUERREROS","Laura Fierro Evans","$35.300,00","https://www.yenny-elateneo.com/productos/los-estilos-guerreros/"
"LIDER COACH","Oscar Anzorena","$34.900,00","https://www.yenny-elateneo.com/productos/lider-coach/"
"DISEÑO ESTRATEGICO","Andre R. Coutinho / Anderson C. S. Penha","$27.990,00","https://www.yenny-elateneo.com/productos/diseno-estrategico/"
"VENDER PODEROSAMENTE","Marcos Alvarez","$29.600,00","https://www.yenny-elateneo.com/productos/vender-poderosamente/"
"EL MUNDO ES TU PUBLICO","Daniel Colombo","$20.000,00","https://www.yenny-elateneo.com/productos/el-mundo-es-tu-publico/"
"MARATHONOMICS","Carmen Lopez Imizcoz","$16.200,00","https://www.yenny-elateneo.com/productos/marathonomics/"
"INTRODUCCION AL CRECIMIENTO ECONOMICO Y DESARROLLO","Gregorio Gimenez Esteban","$42.021,92","https://www.yenny-elateneo.com/productos/introduccion-al-crecimiento-economico-y-desarrollo/"
"DIRECCION ESTRATEGICA INTERNACIONAL","Jose Antonio Jimenez Quintero / Ignacio Aldeanueva Fernandez","$55.464,04","https://www.yenny-elateneo.com/productos/direccion-estrategica-internacional/"
"DIPLOMACIA EN LA EMPRESA","Eduardo Jara Roncati","$41.934,52","https://www.yenny-elateneo.com/productos/diplomacia-en-la-empresa/"
"ECONOMIA DE LAS CIUDADES DE AMERICA LATINA HOY - VOL 1","Jose Luis Coraggio / Ruth Munoz","$25.000,00","https://www.yenny-elateneo.com/productos/economia-de-las-ciudades-de-america-latina-hoy-vol-1/"
"FEELING INTELIGENCIA EMOCIONAL APLICADA A LA VENTA","Raquel Anon Davo / Miguel Diaz Escoto Angel","$40.600,00","https://www.yenny-elateneo.com/productos/feeling-inteligencia-emocional-aplicada-a-la-venta/"
"GESTION DE RIESGO COMUNICACIONAL","Alejandro Ruiz Balza / Gustavo Coppola","$21.500,00","https://www.yenny-elateneo.com/productos/gestion-de-riesgo-comunicacional/"
"DOCUMENTACION E INFORMES EN CONSUMO - UF1756","Enrique Garcia Prado","$23.528,08","https://www.yenny-elateneo.com/productos/documentacion-e-informes-en-consumo-uf1756/"
"EL ANTILIDER","Andres Hatum","$37.799,00","https://www.yenny-elateneo.com/productos/el-antilider/"
"DESCUBRIENDO EL BITCOIN","Andrei Boar","$39.700,00","https://www.yenny-elateneo.com/productos/descubriendo-el-bitcoin/"
"EL LADO FEMENINO DEL PODER","Patricia Debeljuh / Sandra Idrovo Carlier / Maria Bernal Gonzales","$19.200,00","https://www.yenny-elateneo.com/productos/el-lado-femenino-del-poder/"
"EL PODER DE LOS PARES","Leon Shapiro / Leo Bottary","$31.990,00","https://www.yenny-elateneo.com/productos/el-poder-de-los-pares/"
"LA ESTAFA DEL TARIFAZO","Federico Bernal","$21.900,00","https://www.yenny-elateneo.com/productos/la-estafa-del-tarifazo/"
"AJUSTADOS","Diego Rubinzal / Carlos Heller","$18.900,00","https://www.yenny-elateneo.com/productos/ajustados/"
"DIRECCION ESTRATEGICA DE RRHH VOL II - CASOS (3RA ED.)","Martha Alles","$36.900,00","https://www.yenny-elateneo.com/productos/direccion-estrategica-de-rrhh-vol-ii-casos-3ra-ed/"
"UNA REPUBLICA SIN BUITRES","Juan Jose Cruces","$4.300,00","https://www.yenny-elateneo.com/productos/una-republica-sin-buitres/"
"EL CRIMEN DE LA DEUDA EXTERNA","Nestor Forero","$26.040,00","https://www.yenny-elateneo.com/productos/el-crimen-de-la-deuda-externa/"
"LA MONEDA IMPOSIBLE","Alexandre Roig","$26.000,00","https://www.yenny-elateneo.com/productos/la-moneda-imposible/"
"LA SEGUNDA ERA DE LAS MAQUINAS","Erik Brynjolfsson / Andrew Mcafee","$28.990,00","https://www.yenny-elateneo.com/productos/la-segunda-era-de-las-maquinas/"
"DEUDAS SOCIALES EN LA ARGENTINA POSREFORMA","Agustin Salvia","$22.800,00","https://www.yenny-elateneo.com/productos/deudas-sociales-en-la-argentina-posreforma/"
"DIRECCION ESTRATEGICA DE LOS RECURSOS HUMANOS","Eneka Albizu Gallastegui / Jon Landeta Rodriguez","$88.990,68","https://www.yenny-elateneo.com/productos/direccion-estrategica-de-los-recursos-humanos/"
"ECONOMIA: VERDADES Y MENTIRAS","Thomas Sowell","$21.300,00","https://www.yenny-elateneo.com/productos/economia-verdades-y-mentiras/"
"DESPUES DEL NEOLIBERALISMO","Carlos M. Vilas","$15.000,00","https://www.yenny-elateneo.com/productos/despues-del-neoliberalismo/"
"LA QUINTA DISCIPLINA","Peter M. Senge","$57.300,00","https://www.yenny-elateneo.com/productos/la-quinta-disciplina/"
"LA EMPRESA EMERGENTE","Rafael Echeverria","$25.700,00","https://www.yenny-elateneo.com/productos/la-empresa-emergente/"
"NUEVAS TEORIAS DE LA EMPRESA","Benjamin Coriat / Olivier Weinstein","$26.910,00","https://www.yenny-elateneo.com/productos/nuevas-teorias-de-la-empresa/"
"GUIA RAPIDA DE LAS 33 ESTRATEGIAS DE LA GUERRA","Robert Greene","$27.700,00","https://www.yenny-elateneo.com/productos/guia-rapida-de-las-33-estrategias-de-la-guerra/"
"VALOR PERDURABLE","Jose Luis Roces","$29.990,00","https://www.yenny-elateneo.com/productos/valor-perdurable/"
"EL EJECUTIVO SAMURAI","Don Schmincke","$16.000,00","https://www.yenny-elateneo.com/productos/el-ejecutivo-samurai/"
"MUJERES Y VARONES EN LAS ORGANIZACIONES","Lidia Heller","$25.000,00","https://www.yenny-elateneo.com/productos/mujeres-y-varones-en-las-organizaciones/"
"GIGANTES EMERGENTES","Claudio Carlos Castro / Sebastian Vigliero","$28.880,00","https://www.yenny-elateneo.com/productos/gigantes-emergentes/"
"LA TRASTIENDA DEL TRABAJO","Jorge B. Mosqueira","$26.990,00","https://www.yenny-elateneo.com/productos/la-trastienda-del-trabajo/"
"LA RESPUESTA","Mario Alonso Puig","$23.200,00","https://www.yenny-elateneo.com/productos/la-respuesta/"
"LA ECONOMIA DE LAS DESIGUALDADES","Thomas Piketty","$22.390,00","https://www.yenny-elateneo.com/productos/la-economia-de-las-desigualdades/"
"EL ARTE DE LA GUERRA APLICADO A LA EMPRESA","Sun Tzu Sun Tzu / Carles Font","$18.500,00","https://www.yenny-elateneo.com/productos/el-arte-de-la-guerra-aplicado-a-la-empresa/"
"MI TRABAJO AHORA","Alex Markman / Matias Ghidini","$23.990,00","https://www.yenny-elateneo.com/productos/mi-trabajo-ahora/"
"EXITO MAGICO","Ernesto Costa","$23.990,00","https://www.yenny-elateneo.com/productos/exito-magico/"
"MICROFINANZAS EN LA ARGENTINA","Martin Grandes","$23.990,00","https://www.yenny-elateneo.com/productos/microfinanzas-en-la-argentina/"
"CALIDAD DE SERVICIOS Y SATISFACCION AL CLIENTE","Cristina Iglesia","$21.500,00","https://www.yenny-elateneo.com/productos/calidad-de-servicios-y-satisfaccion-al-cliente/"
"LA MARCA RECURSOS HUMANOS","Martha Alles","$39.600,00","https://www.yenny-elateneo.com/productos/la-marca-recursos-humanos/"
"PYMES QUE CRECEN A PESAR DE","Nino Fernandez","$22.390,00","https://www.yenny-elateneo.com/productos/pymes-que-crecen-a-pesar-de/"
"MARKETING SOLIDARIO","Piramide","$35.292,12","https://www.yenny-elateneo.com/productos/marketing-solidario/"
"DESARROLLO Y ECOPOLITICA","Tomas Buch","$31.200,00","https://www.yenny-elateneo.com/productos/desarrollo-y-ecopolitica/"
"INNOVAR EN ARGENTINA","Hernan Thomas / Guillermo Santos / Mariano Fressoli","$27.720,00","https://www.yenny-elateneo.com/productos/innovar-en-argentina/"
"LA RESURRECCION","Eduardo Levy Yetati","$22.900,00","https://www.yenny-elateneo.com/productos/la-resurreccion/"
"MAS ALLA DE LA ECONOMIA VERDE","Ricardo Abramovay","$26.990,00","https://www.yenny-elateneo.com/productos/mas-alla-de-la-economia-verde/"
"ENTRE GENERACIONES","Alejandro Masco","$24.990,00","https://www.yenny-elateneo.com/productos/entre-generaciones/"
"EMPUJE ESTRATEGICO","Alberto Levy / Alberto Ibanez Fernandez","$29.200,00","https://www.yenny-elateneo.com/productos/empuje-estrategico/"
"ECONOMIA CIENCIA DE LOS INTERESES APASIONADOS LA","Bruno Latour / Vincent Lepinay","$12.500,00","https://www.yenny-elateneo.com/productos/economia-ciencia-de-los-intereses-apasionados-la/"
"LA TRAMA TERRITORIAL DEL ALGODON EN EL CHACO","Cristina O. Valenzuela / Angel Scavo","$8.100,00","https://www.yenny-elateneo.com/productos/la-trama-territorial-del-algodon-en-el-chaco/"
"UN MUNDO MARAVILLOSO","Pablo Rieznik","$22.600,00","https://www.yenny-elateneo.com/productos/un-mundo-maravilloso/"
"ARGENTINA EN EL SIGLO VEINTE","David Rock","$25.060,00","https://www.yenny-elateneo.com/productos/argentina-en-el-siglo-veinte/"
"LA CUARTA PANTALLA","Roberto Igarsa","$23.000,00","https://www.yenny-elateneo.com/productos/la-cuarta-pantalla/"
"NECESARIO PERO NO SUFICIENTE","Eliyahu Goldratt","$38.700,00","https://www.yenny-elateneo.com/productos/necesario-pero-no-suficiente/"
"NO ES CUESTION DE SUERTE","Eliyahu Goldratt","$41.900,00","https://www.yenny-elateneo.com/productos/no-es-cuestion-de-suerte/"
"EL ESPIRITU TRANSFORMADOR","Jair Moggi / Daniel Burkhard","$27.600,00","https://www.yenny-elateneo.com/productos/el-espiritu-transformador/"
"CORPORACIONES EN EL PODER","Hernan Ramirez","$25.060,00","https://www.yenny-elateneo.com/productos/corporaciones-en-el-poder/"
"EL TRABAJO EN EQUIPO","Jon R. Katzenbach","$44.800,00","https://www.yenny-elateneo.com/productos/el-trabajo-en-equipo/"
"MISION RESULTADO","Jose Antonio Veiga","$21.000,00","https://www.yenny-elateneo.com/productos/mision-resultado/"
"COMO SE FINANCIAN LAS ONG ARGENTINAS?","Pablo Marsal","$13.600,00","https://www.yenny-elateneo.com/productos/como-se-financian-las-ong-argentinas/"
"LA CARRERA","Eliyahu Goldratt","$29.400,00","https://www.yenny-elateneo.com/productos/la-carrera/"
