"titulo","autor","precio","enlace"
"DIRECCION DE EMPRESAS","Ana Maria Castillo Clavero","$75.548,56","https://www.yenny-elateneo.com/productos/direccion-de-empresas/"
"MANUAL DE RELACIONES PUBLICAS E INSTITUCIONALES","Antonio E. Di Genova","$44.000,00","https://www.yenny-elateneo.com/productos/manual-de-relaciones-publicas-e-institucionales1/"
"MARKETING 5.0","Hermawan Kartajaya / Iwan Setiawan / Phillip Kotler","$34.900,00","https://www.yenny-elateneo.com/productos/marketing-5-0/"
"EL HILO DE ORO","Pablo Lamas","$18.000,00","https://www.yenny-elateneo.com/productos/el-hilo-de-oro/"
"CREENCIAS ECONOMICAS","Ernesto Sandler","$3.000,00","https://www.yenny-elateneo.com/productos/creencias-economicas/"
"HISTORIA DEL DINERO","Kwasi Kwarteng","$27.700,00","https://www.yenny-elateneo.com/productos/historia-del-dinero1/"
"EL CAPITAL DE RIESGO","Sebastian Mallaby","$33.800,00","https://www.yenny-elateneo.com/productos/el-capital-de-riesgo/"
"MENDIGOS DEL MUNDO","Diego Benenzon","$31.990,00","https://www.yenny-elateneo.com/productos/mendigos-del-mundo/"
"FILOSOFIA PARA DIRECTIVOS","Rais Buson","$26.500,00","https://www.yenny-elateneo.com/productos/filosofia-para-directivos/"
"LA RIQUEZA DE LA DIVERSIDAD","Sally Helgesen","$24.600,00","https://www.yenny-elateneo.com/productos/la-riqueza-de-la-diversidad/"
"MIRADAS SOBRE LA DESIGUALDAD","Branko; Munoz De Bustillo Llorente Fra Milanovic","$38.999,00","https://www.yenny-elateneo.com/productos/miradas-sobre-la-desigualdad/"
"DESACTIVAR LA BOMBA","Andres Hatum","$26.999,00","https://www.yenny-elateneo.com/productos/desactivar-la-bomba/"
"PODER Y DINERO EN LA ERA DEL BITCOIN","Marco Mallamaci","$42.000,00","https://www.yenny-elateneo.com/productos/poder-y-dinero-en-la-era-del-bitcoin/"
"UN BEST SELLER PARA TODA LA VIDA","Ryan Holiday","$30.900,00","https://www.yenny-elateneo.com/productos/un-best-seller-para-toda-la-vida/"
"LA ECONOMIA EXPLICADA PARA QUE AL FIN LA ENTIENDAS","Teiyan Pettinger","$28.500,00","https://www.yenny-elateneo.com/productos/la-economia-explicada-para-que-al-fin-la-entiendas/"
"UNA HISTORIA DE COMO NOS ENDEUDAMOS","Ariel Wilkis","$24.190,00","https://www.yenny-elateneo.com/productos/una-historia-de-como-nos-endeudamos/"
"ADMINISTRACION ESTRATEGICA EN TURISMO","Ugerman Editor","$47.300,00","https://www.yenny-elateneo.com/productos/administracion-estrategica-en-turismo/"
"LLEVATE BIEN CON TU BILLETERA","Tiffany Aliche","$26.500,00","https://www.yenny-elateneo.com/productos/llevate-bien-con-tu-billetera/"
"GUIA RAPIDA EL ARTE DE LA SEDUCCION - N.E.","Robert Greene","$27.700,00","https://www.yenny-elateneo.com/productos/guia-rapida-el-arte-de-la-seduccion-n-e/"
"FIN DEL TRABAJO EL?","Luis Guastini","$37.799,00","https://www.yenny-elateneo.com/productos/fin-del-trabajo-el/"
"EMPRESA PUBLICA Y ESTADO EMPRESARIO EN LA ARGENTINA (1810-2020)","Marcelo Rougier","$29.300,00","https://www.yenny-elateneo.com/productos/empresa-publica-y-estado-empresario-en-la-argentina-1810-2020/"
"ENCIENDE LA LLAMA","Pablo Aragone","$20.000,00","https://www.yenny-elateneo.com/productos/enciende-la-llama/"
"TU FUTURO TRABAJO","Borja Castelar","$19.900,00","https://www.yenny-elateneo.com/productos/tu-futuro-trabajo/"
"INFALIBLE. EL SISTEMA QUE NUNCA FALLA PARA ALCANZAR EL EXITO","Clement W. Stone","$26.900,00","https://www.yenny-elateneo.com/productos/infalible-el-sistema-que-nunca-falla-para-alcanzar-el-exito/"
"EL FUTURO DEL COMERCIO QUE SE VIENE","Damian Di Pace","$28.300,00","https://www.yenny-elateneo.com/productos/el-futuro-del-comercio-que-se-viene/"
"¡LO QUIERO!","Luke Burgis","$30.300,00","https://www.yenny-elateneo.com/productos/lo-quiero/"
"SU DERECHO A SER RICO","Napoleon Hill","$26.900,00","https://www.yenny-elateneo.com/productos/su-derecho-a-ser-rico/"
"GRAN LIBRO DE LA VENTA TELEFONICA","Cesar Piqueras","$54.500,00","https://www.yenny-elateneo.com/productos/gran-libro-de-la-venta-telefonica/"
"EMPRESAS DE FAMILIA. GUIA PRACTICA PARA TRANSFORMAR IDEAS EN RESULTADOS CONCRETOS Y DE EXITO","Hernan Medina","$8.000,00","https://www.yenny-elateneo.com/productos/empresas-de-familia-guia-practica-para-transformar-ideas-en-resultados-concretos-y-de-exito/"
"SEMIOCAPITALISMO","Antonio Caro","$32.780,00","https://www.yenny-elateneo.com/productos/semiocapitalismo/"
"GPS EMPRENDEDOR","Joy Klinko / Luciana Goldstein","$28.000,00","https://www.yenny-elateneo.com/productos/gps-emprendedor/"
"12 PASOS PARA DELEGAR EFECTIVAMENTE","Martha Alles","$32.600,00","https://www.yenny-elateneo.com/productos/12-pasos-para-delegar-efectivamente/"
"Y POR QUE NOT","Daniel Fajardo","$30.900,00","https://www.yenny-elateneo.com/productos/y-por-que-not/"
"UN MUNDO SIN E-MAIL","Carl Newport","$30.590,00","https://www.yenny-elateneo.com/productos/un-mundo-sin-e-mail/"
"DEL QUERER AL HACER","Jeremy Kraayenbrink","$21.100,00","https://www.yenny-elateneo.com/productos/del-querer-al-hacer/"
"MANIFIESTO CAPITALISTA","Robert T. Kiyosaki","$43.199,00","https://www.yenny-elateneo.com/productos/manifiesto-capitalista/"
"EL FIN DE LA INFLACION","Javier Milei","$31.900,00","https://www.yenny-elateneo.com/productos/el-fin-de-la-inflacion/"
"LIDERAR DESDE LO FEMENINO","Tatiana Camps","$22.000,00","https://www.yenny-elateneo.com/productos/liderar-desde-lo-femenino/"
"CAPITALISMO CANIBAL","Nancy Fraser","$28.590,00","https://www.yenny-elateneo.com/productos/capitalismo-canibal/"
"DINAMITA MENTAL","Napoleon Hill","$26.500,00","https://www.yenny-elateneo.com/productos/dinamita-mental/"
"CRISIS ECONOMICAS ARGENTINAS . DE MITRE A MACRI","Julian Zicari","$35.990,00","https://www.yenny-elateneo.com/productos/crisis-economicas-argentinas-de-mitre-a-macri/"
"TOYOTA KATA GUIA PRACTICA","Mike Rother","$58.900,00","https://www.yenny-elateneo.com/productos/toyota-kata-guia-practica/"
"CONVERSACIONES TRASCENDENTALES SOBRE ECONOMIA","Juan Carlos De Pablo","$24.360,00","https://www.yenny-elateneo.com/productos/conversaciones-trascendentales-sobre-economia/"
"LA ESCUELA DE NEGOCIOS","Robert T. Kiyosaki","$20.699,00","https://www.yenny-elateneo.com/productos/la-escuela-de-negocios/"
"AHORA TE PUEDES MARCHAR... O NO","Leo Piccioli","$17.300,00","https://www.yenny-elateneo.com/productos/ahora-te-puedes-marchar-o-no/"
"EL SENDERO A LAS RIQUEZAS EN PIENSE Y HAGASE RICO","Napoleon Hill","$24.900,00","https://www.yenny-elateneo.com/productos/el-sendero-a-las-riquezas-en-piense-y-hagase-rico/"
"TOYOTA KATA","Mike Rother","$70.300,00","https://www.yenny-elateneo.com/productos/toyota-kata/"
"METAFORAS DEL DESEMPEÑO","Luis Maria Cravino","$26.990,00","https://www.yenny-elateneo.com/productos/metaforas-del-desempeno/"
"LIBERTAD LIBERTAD LIBERTAD","Javier Milei / Diego Giacomini","$39.900,00","https://www.yenny-elateneo.com/productos/libertad-libertad-libertad/"
"EL JUEGO DEL DINERO","Robert T. Kiyosaki","$26.999,00","https://www.yenny-elateneo.com/productos/el-juego-del-dinero/"
"CRIPTOMONEDAS","Gonzalo Roberto Arzuaga","$26.999,00","https://www.yenny-elateneo.com/productos/criptomonedas/"
"SIMEONE PARTIDO A PARTIDO","Diego Simeone","$35.900,00","https://www.yenny-elateneo.com/productos/simeone-partido-a-partido/"
"INNOVACION Y EMPRESA","Guillermo Guajardo","$24.360,00","https://www.yenny-elateneo.com/productos/innovacion-y-empresa/"
"NEURO PACK VOL 1","Nestor Bruno Braidot","$78.500,00","https://www.yenny-elateneo.com/productos/neuro-pack-vol-1/"
"NEUROMANAGEMENT NUEVA EDICION","Nestor Bruno Braidot","$58.800,00","https://www.yenny-elateneo.com/productos/neuromanagement-nueva-edicion/"
"LA TEORIA DE JUEGOS: UNA BREVE INTRODUCCION","Ken Binmore","$23.423,20","https://www.yenny-elateneo.com/productos/la-teoria-de-juegos-una-breve-introduccion/"
"ECONOMIA 3D","Martin Lousteau","$26.999,00","https://www.yenny-elateneo.com/productos/economia-3d/"
"DILEMAS","Fabiana Gadow","$43.500,00","https://www.yenny-elateneo.com/productos/dilemas/"
"EL CAPITAL VOL. 3","Karl Marx","$24.790,00","https://www.yenny-elateneo.com/productos/el-capital-vol-3/"
"EL SALTO DEL DUEÑO","Paula Molinari","$38.990,00","https://www.yenny-elateneo.com/productos/el-salto-del-dueno/"
"EL ABC DEL LIDERAZGO","John C. Maxwell","$23.000,00","https://www.yenny-elateneo.com/productos/el-abc-del-liderazgo/"
"EL ABC DEL EXITO","John C. Maxwell","$23.000,00","https://www.yenny-elateneo.com/productos/el-abc-del-exito/"
"DOMINA EL ARTE DE LOS NEGOCIOS","Brian Tracy","$29.999,00","https://www.yenny-elateneo.com/productos/domina-el-arte-de-los-negocios/"
"ECONOMIA HUMANA . INTUICION LIDERAZGO Y PROSPERIDAD","Ferran Caudet","$40.920,00","https://www.yenny-elateneo.com/productos/economia-humana-intuicion-liderazgo-y-prosperidad/"
"EL EFECTO STICK","Josep Valls Gimenez","$53.300,00","https://www.yenny-elateneo.com/productos/el-efecto-stick/"
"TIPS PARA MAMA","Harvard Business Review Press","$40.500,00","https://www.yenny-elateneo.com/productos/tips-para-mama/"
